Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/24/2016 7:05:51","5","4","Apps","6/24/2016 13:55:06","2","3208a7393ff3fd3c67fae17c8e48db37","8","Sunnyvale","summerApps","9/7/16 15:57","9/7/16 15:58","20eafecabd","455","San Francisco","Apps, Explorer","Week 3","6","Just right",
"6/24/2016 7:06:58","5","4","Apps","6/24/2016 13:47:09","5","45d7a66a67ee79f5c9ffa6d6abb1b307","10","San Francisco","summerApps","9/7/16 17:11","9/7/16 17:21","e474841bba","472","San Francisco","Apps","Week 3","6","A little too fast",
"6/24/2016 7:07:26","5","3","Apps","6/24/2016 13:47:20","3","964e2d8e91a04b8735e73aafedb54541","9","San Francisco","summerVR","9/7/16 19:13","9/7/16 19:25","ae112590e9","484","Oakland","Apps","Week 3","6","A little too slow",
"6/24/2016 7:08:43","5","3","Apps","6/24/2016 13:47:25","4","e8780f8e3d0026549c276135fd9569ef","7","New York","summerApps (4-week)","9/7/16 19:23","9/7/16 19:26","a578e4964d","489","","","Week 1","6","A little too slow",
"6/24/2016 7:18:32","5","4","Apps","6/24/2016 13:49:23","4","864ff3fc8e19d27f3d4c46eb4b304d35","10","San Francisco","summerApps","9/7/16 19:39","9/7/16 19:40","573a652ffb","20","Redwood City","Apps","Week 1","7","A little too slow",
"6/24/2016 8:22:55","5","3","Apps","6/24/2016 13:50:25","3","c2bc67325eb91085f3686aabf309d801","10","Los Angeles","summerGames","9/7/16 19:51","9/7/16 19:57","cadcc3e368","26","Los Angeles","Apps","Week 1","7","A little too fast",
"6/24/2016 14:02:56","3","2","Apps","6/24/2016 13:50:34","5","fd802ce8e43aa9deade38c108298dbaf","10","Sunnyvale","summerIntro","9/7/16 23:58","9/8/16 0:00","9ba33ad0f9","35","Los Angeles","Apps","Week 1","7","Just right",
"6/23/2016 14:48:47","3","3","Apps","6/24/2016 13:50:54","3","ac671896bf86167dc073c3f52131fe70","8","New York","summerApps","9/8/16 0:50","9/8/16 0:58","1b349a7cce","38","Chicago","Apps","Week 1","7","A little too fast",
"6/24/2016 9:50:50","3","4","Apps","6/24/2016 13:51:20","3","143652af47062192767081ff1dd630cc","10","San Francisco","summerGames","9/8/16 1:55","9/8/16 1:59","94f319072c","48","San Francisco","VR","Week 1","7","A little too slow",
"6/24/2016 13:21:09","3","5","Apps","6/24/2016 13:53:34","3","f4a5aed1cad9367cc58744706de54a1b","7","Sunnyvale","summerApps","9/8/16 5:59","9/8/16 6:04","9f09067d6a","62","San Francisco","Apps","Week 1","7","A little too fast",
